id;province_id;name;en_name
1; 1;  آذرشهر; Azarshahr
2; 1;  اسکو; Osku
3; 1;  اهر; Ahar
4; 1;  بستان آباد; Bostanabad
5; 1;  بناب; Bonab
6; 1;  تبریز; Tabriz
7; 1;  جلفا; Jolfa
8; 1;  چار اویماق; Charuymaq
9; 1;  سراب; Sarab
10; 1;  شبستر; Shabestar
11; 1;  عجبشیر; Ajab Shir
12; 1;  کلیبر; Kaleybar
13; 1;  مراغه; Maragheh
14; 1;  مرند; Marand
15; 1;  ملکان; Malekan
16; 1;  میانه; Mianeh
17; 1;  ورزقان; Varzaqan
18; 1;  هریس; Heris
19; 1; هشترود; Hashtrud
20; 2;  ارومیه; Urmia
21; 2;  اشنویه; Oshnavieh
22; 2;  بوکان; Bukan
23; 2;  پیرانشهر; Piranshahr
24; 2;  تکاب; Takab
25; 2;  چالدران; Chaldoran
26; 2;  خوی; Khoy
27; 2;  سردشت; Sardasht
28; 2;  سلماس; Salmas
29; 2;  شاهین دژ; Shahin Dezh\r\n
30; 2;  ماکو; Maku
31; 2;  مهاباد; Mahabad
32; 2;  میاندوآب; Miandoab
33; 2;  نقده; Naqadeh
34; 3;  اردبیل; Ardabil
35; 3;  بیله سوار; Bileh Bileh Savar
36; 3;  پارس آباد; Parsabad
37; 3;  خلخال; Khalkhal
38; 3;  کوثر; Kowsar
39; 3;  گرمی; Germi
40; 3;  مشگین; Meshginshahr
41; 3;  نمین; Namin
42; 3;  نیر; Nir
43; 4;  آران و بیدگل; Aran va Bidgol
44; 4;  اردستان; Ardestan
45; 4;  اصفهان; Isfahan
46; 4;  برخوار و میمه; Borkhar and M00000
47; 4;  تیران و کرون;
48; 4;  چادگان; Chadegan
49; 4;  خمینی شهر; Khomeyni Shahr
50; 4;  خوانسار; Khvansar
51; 4;  سمیرم; Semirom
52; 4;  شاهین شهر و میمه; Shahin Sha
53; 4;  شهر رضا; Shahreza
54; 4; دهاقان; Dehaqan
55; 4;  فریدن; Faridan
56; 4;  فریدون شهر; Fereydunshahr
57; 4;  فلاورجان; Falavarjan
58; 4;  کاشان; Kashan
59; 4;  گلپایگان; Golpayegan
60; 4;  لنجان; Lenjan
61; 4;  مبارکه; Mobarakeh
62; 4;  نائین; Nain
63; 4;  نجف آباد; Najafabad
64; 4;  نطنز; Natanz
65; 5;  ساوجبلاق; Savojbolagh
66; 5;  کرج; Karaj
67; 5;  نظرآباد; Nazarabad
68; 5; طالقان; Taleqan
69; 6;  آبدانان; Abdanan
70; 6;  ایلام; Ilam
71; 6;  ایوان; Eyvan
72; 6;  دره شهر; Darreh Shahr
73; 6;  دهلران; Dehloran
74; 6;  شیران و چرداول; Chardavol
75; 6;  مهران; Mehran
76; 7;  بوشهر; Bushehr
77; 7;  تنگستان; Tangestan
78; 7;  جم; Jam
79; 7;  دشتستان; Dashtestan
80; 7;  دشتی; Dashti
81; 7;  دیر; Deyr
82; 7;  دیلم; Deylam
83; 7;  کنگان; Kangan
84; 7;  گناوه; Ganaveh
85; 8;  اسلام شهر; Eslamshahr
86; 8;  پاکدشت;
87; 8;  تهران;
88; 8;  دماوند;
89; 8;  رباط کریم;
90; 8;  ری;
91; 8;  شمیرانات;
92; 8;  شهریار;
93; 8;  فیروزکوه;
94; 8;  ورامین;
95; 9;  اردل;
96; 9;  بروجن;
97; 9;  شهرکرد;
98; 9;  فارسان;
99; 9;  کوهرنگ;
100; 9;  لردگان;
101; 10;  بیرجند;
102; 10;  درمیان;
103; 10;  سرایان;
104; 10;  سر بیشه;
105; 10;  فردوس;
106; 10;  قائن;
107; 10;  نهبندان;
108; 11;  برد سکن;
109; 11;  بجستان;
110; 11;  تایباد;
111; 11; تحت جلگه;
112; 11;  تربت جام;
113; 11;  تربت حیدریه;
114; 11;  چناران;
115; 11;  جغتای;
116; 11;  جوین;
117; 11;  خلیل آباد;
118; 11;  خواف;
119; 11;  درگز;
120; 11;  رشتخوار;
121; 11;  زاوه;
122; 11;  سبزوار;
123; 11;  سرخس;
124; 11;  فریمان;
125; 11;  قوچان;
126; 11; طرقبه شاندیز;
127; 11;  کاشمر;
128; 11;  کلات;
129; 11;  گناباد;
130; 11;  مشهد;
131; 11;  مه ولات;
132; 11;  نیشابور;
133; 12;  اسفراین;
134; 12;  بجنورد;
135; 12;  جاجرم;
136; 12;  شیروان;
137; 12;  فاروج;
138; 12;  مانه و سملقان;
139; 13;  آبادان;
140; 13;  امیدیه;
141; 13;  اندیمشک;
142; 13;  اهواز;
143; 13;  ایذه;
144; 13;  باغ ملک;
145; 13;  بندرماهشهر;
146; 13;  بهبهان;
147; 13;  خرمشهر;
148; 13;  دزفول;
149; 13;  دشت آزادگان;
150; 13;  رامشیر;
151; 13;  رامهرمز;
152; 13;  شادگان;
153; 13;  شوش;
154; 13;  شوشتر;
155; 13;  گتوند;
156; 13;  لالی;
157; 13;  مسجد سلیمان;
158; 13;  هندیجان;
159; 14;  ابهر;
160; 14;  ایجرود;
