id;fiedl_name;old_value;new_value;change_date
1;میراث زیتونی پیشرو;زده Buckinghamshire;متن نسل پاکستان;2021-07-16T08:40:46
2;قابل calculating;العاده قزوین معیار;دست تفاوت;2021-07-16T04:05:49
3;سازی;باهوش;محدودیت;2021-07-15T21:12:25
4;بتنی;فروشنده مدیرعامل;زیبایی وام;2021-07-16T12:03:41
5;جنوبی فیلم;دوچرخه هویزه;مدیریت;2021-07-15T19:12:23
6;SDD رامین;کیفیت راننده indexing;زنجیره HDD پرداخت;2021-07-16T06:55:28
7;لطیف نگهبان نارنجی;Borders ناحیه استیل;شخصی;2021-07-16T10:45:19
8;تحلیلگر;خواربار یمن عالی;پرداخت transmit back-end;2021-07-16T06:00:59
9;HDD بهینه;صابون کوچک دانه;چوبی سرمایه الکترونیکی;2021-07-16T07:38:45
10;های سوله مسکن;استفاده سپرده 24/7;از;2021-07-16T07:34:39
