id;name;en_name
1; آذربایجان شرقی; East Azerbaijan
2; آذربایجان غربی; West Azerbaijan
3; اردبیل; Ardabil
4; اصفهان; Isfahan
5; البرز; Alborz
6; ایلام; Ilam
7; بوشهر; Bushehr
8; تهران; Tehran
9; چهارمحال و بختیاری; Chaharmahal and Bakhtiari
10; خراسان جنوبی; South Khorasan
11; خراسان رضوی; Razavi Khorasan
12; خراسان شمالی; North Khorasan
13; خوزستان; Khuzestan
14; زنجان; Zanjan
15; سمنان; Semnan
16; سیستان و بلوچستان; Sistan and Baluchestan
17; فارس; Fars
18; قزوین; Qazvin
19; قم; Qom
20; كردستان; Kurdistan
21; كرمان; Kerman
22; كرمانشاه; Kermanshah
23; کهگیلویه و بویراحمد; Kohgiluyeh and Boyer-Ahmad
24; گلستان; Golestan
25; گیلان; Gilan
26; لرستان; Lorestan
27; مازندران; Mazandaran
28; مركزی; Markazi
29; هرمزگان; Hormozgan
30; همدان; Hamadan
31; یزد; Yazd
